state,race_eth,year,demVote,repVote,pop,turnout
Alabama,Black,2004,0.867080366540318,0.12552010804552,794570,0.560658800814555
Alabama,Black,2012,0.938316542589228,0.0540540415043004,927468,0.60941291018261
Alabama,Hispanic,2004,0.415813548633892,0.576492606288989,16934,0.469276022944597
Alabama,Hispanic,2012,0.547760228519915,0.437504212883916,56041,0.435956708816148
Alabama,Other,2004,0.36033084226267,0.630079307175658,57037,0.447187949491657
Alabama,Other,2012,0.510633327900549,0.474114600997025,75369,0.467855091083844
Alabama,White,2004,0.210157262779545,0.783064661313999,2391511,0.587291197353758
Alabama,White,2012,0.161415293167867,0.82650623534048,2541758,0.570248547383356
Alaska,Black,2004,0.830945433123503,0.143359131915092,13596,0.710417647749129
Alaska,Black,2012,0.878565674079524,0.0909468735956439,21227,0.575060696214557
Alaska,Hispanic,2004,0.505943599271371,0.459193656227874,14276,0.64138441419746
Alaska,Hispanic,2012,0.567882642840066,0.381402207418029,26013,0.483456168020061
Alaska,Other,2004,0.351919277428586,0.548204311665926,88096,0.57620835030255
Alaska,Other,2012,0.491295532446355,0.45800943004629,118371,0.423445677576761
Alaska,White,2004,0.33125684388567,0.647976634140218,314147,0.773590410966228
Alaska,White,2012,0.355285159301079,0.602035234641149,361976,0.623213563792956
Arizona,Black,2004,0.853328755741311,0.137208190047958,104525,0.519057074125987
Arizona,Black,2012,0.913472885707319,0.0724597892613377,179197,0.510792871738409
Arizona,Hispanic,2004,0.572163717945795,0.416943241924999,589984,0.401919755528557
Arizona,Hispanic,2012,0.620204089419685,0.354150533453426,902035,0.386220458802478
Arizona,Other,2004,0.455063555587074,0.531080178152701,251974,0.374138957835993
Arizona,Other,2012,0.532877433957356,0.439796666053342,353431,0.384940836416323
Arizona,White,2004,0.410103080018913,0.581383133322288,2654021,0.614331251783183
Arizona,White,2012,0.377357619766426,0.603150066492477,3002262,0.576429389769723
Arkansas,Black,2004,0.857139370938943,0.130508226188764,269564,0.523357727987777
Arkansas,Black,2012,0.903140788919514,0.0788284005609941,324577,0.529962124558929
Arkansas,Hispanic,2004,0.503436407851152,0.483360155208172,36152,0.403971290469065
Arkansas,Hispanic,2012,0.527759175980355,0.437819465504884,62995,0.32470683533446
Arkansas,Other,2004,0.416424656633083,0.5642914613664,42609,0.410178541168405
Arkansas,Other,2012,0.491631203308106,0.475702474528848,60286,0.406326282570923
Arkansas,White,2004,0.379229430612188,0.609632382932637,1595880,0.552538366970272
Arkansas,White,2012,0.253627516081164,0.719734263593961,1714354,0.497274069411836
California,Black,2004,0.875927654153844,0.110918504107351,1416396,0.583124259005641
California,Black,2012,0.959120221994319,0.024463401877424,1606286,0.566992960437255
California,Hispanic,2004,0.619828511954105,0.364029501905895,4554713,0.452742443832083
California,Hispanic,2012,0.753535507557769,0.213495837454142,6414809,0.430134965045255
California,Other,2004,0.576145022680546,0.403098194270646,2842390,0.491525480940307
California,Other,2012,0.669681800197223,0.297682682891081,3825296,0.481016443387336
California,White,2004,0.48409444587865,0.504426982496936,11871168,0.685417402457223
California,White,2012,0.486277011832082,0.487800989158905,11974487,0.630156282533185
Colorado,Black,2004,0.856138672796994,0.129681236554343,108645,0.62242768949105
