fips,X,race_eth,edu5,age4,SEX,Freq,sex,state,postal,GESTCEN,census.region,nate.subregion,nate.region
1,7855,Other,postgrad,4,2,441,Female,Alabama,AL,63,south,deep,south
1,205,Black,hs,1,1,45328,Male,Alabama,AL,63,south,deep,south
1,2755,Other,postgrad,3,1,1977,Male,Alabama,AL,63,south,deep,south
1,6886,White,postgrad,3,2,48065,Female,Alabama,AL,63,south,deep,south
1,1786,White,postgrad,2,1,27906,Male,Alabama,AL,63,south,deep,south
1,3367,Other,hs,4,1,1192,Male,Alabama,AL,63,south,deep,south
1,3163,Other,col,4,1,408,Male,Alabama,AL,63,south,deep,south
1,5917,Black,somecol,2,2,50674,Female,Alabama,AL,63,south,deep,south
1,2398,White,hs,3,1,137737,Male,Alabama,AL,63,south,deep,south
1,4948,Hispanic,somecol,1,2,3851,Female,Alabama,AL,63,south,deep,south
1,7498,White,hs,4,2,121214,Female,Alabama,AL,63,south,deep,south
1,1429,Black,nohs,2,1,17004,Male,Alabama,AL,63,south,deep,south
1,5560,Hispanic,nohs,2,2,1521,Female,Alabama,AL,63,south,deep,south
1,460,Hispanic,nohs,1,1,2972,Male,Alabama,AL,63,south,deep,south
1,6937,Black,somecol,3,2,59373,Female,Alabama,AL,63,south,deep,south
1,4591,Other,nohs,1,2,614,Female,Alabama,AL,63,south,deep,south
1,2041,Black,col,3,1,8864,Male,Alabama,AL,63,south,deep,south
1,3214,White,col,4,1,33762,Male,Alabama,AL,63,south,deep,south
1,3622,White,nohs,4,1,46793,Male,Alabama,AL,63,south,deep,south
1,7753,Black,postgrad,4,2,4297,Female,Alabama,AL,63,south,deep,south
1,103,Other,col,1,1,812,Male,Alabama,AL,63,south,deep,south
1,2653,Black,postgrad,3,1,3196,Male,Alabama,AL,63,south,deep,south
1,6784,Hispanic,postgrad,3,2,478,Female,Alabama,AL,63,south,deep,south
1,1684,Hispanic,postgrad,2,1,816,Male,Alabama,AL,63,south,deep,south
1,4234,White,col,1,2,41511,Female,Alabama,AL,63,south,deep,south
1,6988,Hispanic,somecol,3,2,3719,Female,Alabama,AL,63,south,deep,south
1,715,Other,postgrad,1,1,359,Male,Alabama,AL,63,south,deep,south
1,2296,Hispanic,hs,3,1,640,Male,Alabama,AL,63,south,deep,south
1,6019,Other,somecol,2,2,2161,Female,Alabama,AL,63,south,deep,south
1,7396,Hispanic,hs,4,2,952,Female,Alabama,AL,63,south,deep,south
1,1327,Other,hs,2,1,3603,Male,Alabama,AL,63,south,deep,south
1,3877,Black,somecol,4,1,7579,Male,Alabama,AL,63,south,deep,south
1,8008,Hispanic,somecol,4,2,120,Female,Alabama,AL,63,south,deep,south
1,358,White,hs,1,1,69878,Male,Alabama,AL,63,south,deep,south
1,4489,Black,nohs,1,2,15755,Female,Alabama,AL,63,south,deep,south
1,1939,Other,somecol,2,1,2283,Male,Alabama,AL,63,south,deep,south
1,7039,Other,somecol,3,2,5254,Female,Alabama,AL,63,south,deep,south
1,3520,Hispanic,nohs,4,1,213,Male,Alabama,AL,63,south,deep,south
1,970,White,somecol,1,1,101636,Male,Alabama,AL,63,south,deep,south
1,6070,White,somecol,2,2,103125,Female,Alabama,AL,63,south,deep,south
1,2806,White,postgrad,3,1,45289,Male,Alabama,AL,63,south,deep,south
1,5101,Black,col,2,2,15828,Female,Alabama,AL,63,south,deep,south
1,7651,Other,nohs,4,2,2410,Female,Alabama,AL,63,south,deep,south
1,8059,Other,somecol,4,2,811,Female,Alabama,AL,63,south,deep,south
1,5305,Black,hs,2,2,38519,Female,Alabama,AL,63,south,deep,south
1,5050,White,somecol,1,2,108750,Female,Alabama,AL,63,south,deep,south
1,7090,White,somecol,3,2,148683,Female,Alabama,AL,63,south,deep,south
1,4999,Other,somecol,1,2,4130,Female,Alabama,AL,63,south,deep,south
1,7549,Black,nohs,4,2,29685,Female,Alabama,AL,63,south,deep,south
1,1021,Black,col,2,1,12333,Male,Alabama,AL,63,south,deep,south
1,6121,Black,col,3,2,19844,Female,Alabama,AL,63,south,deep,south
1,6325,Black,hs,3,2,54169,Female,Alabama,AL,63,south,deep,south
1,5152,Hispanic,col,2,2,2812,Female,Alabama,AL,63,south,deep,south
1,5407,Other,hs,2,2,1597,Female,Alabama,AL,63,south,deep,south
1,8110,White,somecol,4,2,72695,Female,Alabama,AL,63,south,deep,south
1,5356,Hispanic,hs,2,2,971,Female,Alabama,AL,63,south,deep,south
1,3928,Hispanic,somecol,4,1,510,Male,Alabama,AL,63,south,deep,south
1,7141,Black,col,4,2,3798,Female,Alabama,AL,63,south,deep,south
1,6478,White,hs,3,2,147762,Female,Alabama,AL,63,south,deep,south
1,7600,Hispanic,nohs,4,2,821,Female,Alabama,AL,63,south,deep,south
1,5254,White,col,2,2,64076,Female,Alabama,AL,63,south,deep,south
1,1072,Hispanic,col,2,1,986,Male,Alabama,AL,63,south,deep,south
1,6376,Hispanic,hs,3,2,2228,Female,Alabama,AL,63,south,deep,south
1,5203,Other,col,2,2,2990,Female,Alabama,AL,63,south,deep,south
1,2857,Black,somecol,3,1,40572,Male,Alabama,AL,63,south,deep,south
1,7243,Other,col,4,2,494,Female,Alabama,AL,63,south,deep,south
1,6223,Other,col,3,2,1359,Female,Alabama,AL,63,south,deep,south
1,7192,Hispanic,col,4,2,249,Female,Alabama,AL,63,south,deep,south
1,3265,Black,hs,4,1,15171,Male,Alabama,AL,63,south,deep,south
1,6529,Black,nohs,3,2,27085,Female,Alabama,AL,63,south,deep,south
1,6427,Other,hs,3,2,5025,Female,Alabama,AL,63,south,deep,south
1,4285,Black,hs,1,2,38495,Female,Alabama,AL,63,south,deep,south
1,2908,Hispanic,somecol,3,1,1700,Male,Alabama,AL,63,south,deep,south
1,4336,Hispanic,hs,1,2,2766,Female,Alabama,AL,63,south,deep,south
1,3979,Other,somecol,4,1,949,Male,Alabama,AL,63,south,deep,south
1,5458,White,hs,2,2,70604,Female,Alabama,AL,63,south,deep,south
1,6172,Hispanic,col,3,2,1383,Female,Alabama,AL,63,south,deep,south
1,6274,White,col,3,2,69909,Female,Alabama,AL,63,south,deep,south
2,2,Black,col,1,1,110,Male,Alaska,AK,94,west,interior,west
2,2960,Other,somecol,3,1,5014,Male,Alaska,AK,94,west,interior,west
2,1889,Hispanic,somecol,2,1,1122,Male,Alaska,AK,94,west,interior,west
2,971,White,somecol,1,1,20747,Male,Alaska,AK,94,west,interior,west
2,6938,Black,somecol,3,2,829,Female,Alaska,AK,94,west,interior,west
2,1583,White,nohs,2,1,1594,Male,Alaska,AK,94,west,interior,west
2,5969,Hispanic,somecol,2,2,2438,Female,Alaska,AK,94,west,interior,west
2,5306,Black,hs,2,2,0,Female,Alaska,AK,94,west,interior,west
2,818,Black,somecol,1,1,3990,Male,Alaska,AK,94,west,interior,west
2,4745,Hispanic,postgrad,1,2,337,Female,Alaska,AK,94,west,interior,west
2,3419,White,hs,4,1,7355,Male,Alaska,AK,94,west,interior,west
2,767,White,postgrad,1,1,253,Male,Alaska,AK,94,west,interior,west
2,1226,Black,hs,2,1,1047,Male,Alaska,AK,94,west,interior,west
2,53,Hispanic,col,1,1,0,Male,Alaska,AK,94,west,interior,west
2,6326,Black,hs,3,2,0,Female,Alaska,AK,94,west,interior,west
2,4898,Black,somecol,1,2,879,Female,Alaska,AK,94,west,interior,west
2,1838,Black,somecol,2,1,1290,Male,Alaska,AK,94,west,interior,west
2,1124,Other,col,2,1,224,Male,Alaska,AK,94,west,interior,west
2,3011,White,somecol,3,1,27723,Male,Alaska,AK,94,west,interior,west
2,869,Hispanic,somecol,1,1,2515,Male,Alaska,AK,94,west,interior,west
2,2246,Black,hs,3,1,510,Male,Alaska,AK,94,west,interior,west
2,4796,Other,postgrad,1,2,0,Female,Alaska,AK,94,west,interior,west
2,5255,White,col,2,2,11369,Female,Alaska,AK,94,west,interior,west
